epoch,loss,mean_absolute_error,mean_squared_logarithmic_error,percentage_difference,val_loss,val_mean_absolute_error,val_mean_squared_logarithmic_error,val_percentage_difference
0,9.111313374887686e-07,0.0004162065451964736,7.734780069768021e-07,1.155408263206482,0.00010303897579433396,0.004035914782434702,4.822929986403324e-05,1.1008754968643188
1,2.9227047093627334e-07,0.0003392318030819297,2.4345541760339984e-07,0.8975741267204285,9.763427806319669e-05,0.0035946331918239594,4.6684202970936894e-05,1.0079258680343628
2,2.8268294727240573e-07,0.00032997425296343863,2.351731325234141e-07,0.8726618885993958,4.8112455260707065e-05,0.001955963671207428,2.3436468836735003e-05,0.6217476725578308
3,2.771804759049701e-07,0.00032467395067214966,2.3041016561364813e-07,0.8533133864402771,1.537011303298641e-05,0.0011865011183544993,7.3646210694278125e-06,0.42595064640045166
4,2.716778624289873e-07,0.0003197033074684441,2.256083320162361e-07,0.8347263932228088,9.4757997430861e-06,0.0016864052740857005,4.606545189744793e-06,0.7901611924171448
5,2.6949993525704485e-07,0.0003178171464242041,2.2377288644293003e-07,0.8291904926300049,1.3854272765456699e-05,0.0017493590712547302,6.337954800983425e-06,0.6575263142585754
6,2.6718890921983984e-07,0.00031552620930597186,2.2175493086251663e-07,0.8215265870094299,1.874715781013947e-05,0.0018787605222314596,8.467309271509293e-06,0.6218059062957764
7,2.656989011029509e-07,0.0003139321634080261,2.2048007508601586e-07,0.8151859641075134,2.526309253880754e-05,0.0023581881541758776,1.1471348443592433e-05,0.913388729095459
8,2.643988636918948e-07,0.0003125013899989426,2.1934725680239353e-07,0.8103538155555725,3.197599289705977e-05,0.0024460486602038145,1.4382509107235819e-05,0.8761870861053467
9,2.623805528401135e-07,0.00030998181318864226,2.175510189772467e-07,0.8013904690742493,3.8029069401090965e-05,0.002333336276933551,1.6946616597124375e-05,0.6799818277359009
10,2.610609897146787e-07,0.0003090748214162886,2.1645340098075394e-07,0.7985146641731262,5.229933594819158e-05,0.0026595010422170162,2.3203172531793825e-05,0.7222199440002441
11,2.5999281660915585e-07,0.00030787853756919503,2.1551795725827105e-07,0.7944360971450806,5.384610267356038e-05,0.0026322624180465937,2.383455830567982e-05,0.7348458170890808
12,2.595000410110515e-07,0.000307151727611199,2.1507133851628168e-07,0.7920346856117249,6.231735460460186e-05,0.0028804957401007414,2.7513931854628026e-05,0.8597875237464905
13,2.592884698060516e-07,0.0003070273087359965,2.1490555468517414e-07,0.7918221950531006,6.029926589690149e-05,0.0025714945513755083,2.6505365894990973e-05,0.6949154734611511
14,2.5795839064812753e-07,0.0003057590511161834,2.137224441867147e-07,0.7858089804649353,6.506668432848528e-05,0.002586978953331709,2.85157875623554e-05,0.6908096671104431
15,2.572940047684824e-07,0.00030538602732121944,2.1318068377240706e-07,0.7843030095100403,6.746561848558486e-05,0.002639019163325429,2.948557448689826e-05,0.7845774292945862
16,2.559918073075096e-07,0.0003038907016161829,2.1204759548254515e-07,0.7787899374961853,6.465104524977505e-05,0.0022702037822455168,2.8118914997321554e-05,0.6278337836265564
17,2.5550718874001177e-07,0.0003033552202396095,2.1159843299756176e-07,0.7766076922416687,7.402805204037577e-05,0.002469429047778249,3.2081461540656164e-05,0.7328932285308838
18,2.5551725002515013e-07,0.0003033894463442266,2.1164134977880167e-07,0.775884211063385,7.911193097243086e-05,0.002382307080551982,3.4077984309988096e-05,0.6895279288291931
19,2.5476364839960297e-07,0.0003025648184120655,2.109771060077037e-07,0.7734271883964539,7.89956611697562e-05,0.0023097400553524494,3.388721961528063e-05,0.8681389093399048
